ENVIRONMENT,TEMP_C,HUMIDITY_PCT,ECO2_PPM,LUX,CO_PPM,NH3_PPM,NO2_PPM,DT_SCORE
ammonia_leak,28.048,57.142,532,666.8,0.909,214.097,0.03,0
underground_cave,8.265,88.909,1362,23.9,1.168,2.201,0.037,1
dry_scrubland,37.969,24.566,477,51433.6,0.206,0.481,0.013,1
underground_cave,13.988,82.439,1638,8.6,1.115,1.699,0.01,1
greenhouse,24.805,61.995,631,30533.4,0.56,0.508,0.013,2
indoor_kitchen_cooking,22.988,46.204,877,438.1,3.991,2.724,0.085,1
classroom,20.544,48.34,609,673,0.976,0.047,0.011,2
tundra_edge,-4.043,51.107,409,9213.4,0.324,0.169,0.005,1
unventilated_room,21.767,44.176,3352,421.4,1.771,0.101,0.03,0
tropical_rainforest,26.696,82.259,417,6377.2,0.406,0.56,0.005,2
underground_cave,11.288,78.465,2325,13.3,1.886,2.016,0.047,1
frozen_wasteland,-15.723,19.983,425,2698.1,0.175,0.074,0.002,0
tundra_edge,-2.277,60.816,460,3468.2,0.278,0.116,0.006,1
tundra_edge,-1.671,55.623,456,18172.3,0.419,0.047,0.006,1
tundra_edge,-1.599,58.324,410,8749.9,0.368,0.086,0.005,1
dry_scrubland,35.614,11.22,423,63608.8,0.29,0.238,0.014,1
tropical_rainforest,26.477,92.07,393,5054.3,0.337,0.656,0.002,2
diesel_exhaust_zone,24.855,48.973,536,12790.7,3.509,0.352,7.071,0
frozen_wasteland,-24.907,35.136,411,3858.4,0.142,0.07,0.002,0
classroom,20.593,45.725,614,585.1,0.43,0.036,0.017,2
dry_scrubland,32.22,16.596,415,68480.9,0.355,0.12,0.006,1
greenhouse,24.225,67.184,843,48762.7,0.707,1.347,0.018,2
indoor_kitchen_cooking,26.174,62.836,873,488.6,2.026,2.319,0.08,1
industrial_exhaust,18.411,36.548,4362,22481.6,82.923,51.217,6.333,0
underground_cave,8.252,84.058,1006,17.8,2.969,2.835,0.034,1
urban_roadside,18.525,46.27,510,20467,18.791,0.664,0.295,1
unventilated_room,20.576,55.163,4102,412.6,0.57,0.101,0.018,0
unventilated_room,23.376,44.421,4157,434.6,0.524,0.109,0.007,0
industrial_exhaust,23.264,43.972,3435,13053.6,111.316,12.503,3.604,0
tropical_rainforest,27.727,94.178,428,5493.1,0.462,0.95,0.003,2
underground_cave,12.07,94.154,2385,22.8,2.386,2.99,0.03,1
industrial_exhaust,18.909,39.168,1609,35546,133.429,42.749,2.609,0
unventilated_room,22.291,44.654,3820,223.1,1.099,0.108,0.016,0
urban_roadside,15.558,54.179,596,26478.6,6.639,0.32,0.069,1
ammonia_leak,22.278,42.851,446,832.8,1.017,101.324,0.018,0
tundra_edge,4.457,73.143,433,10656.2,0.08,0.041,0.01,1
dry_scrubland,37.097,13.204,416,55577.1,0.399,0.343,0.003,1
urban_roadside,21.559,51.833,582,29531.6,22.764,0.267,0.282,1
unventilated_room,20.081,53.952,3417,476.3,1.165,0.177,0.018,0
unventilated_room,20.706,44.106,3783,256,0.958,0.148,0.011,0
ammonia_leak,25.742,48.984,670,497.1,0.464,397.012,0.033,0
ammonia_leak,25.233,48.637,589,504.6,0.353,422.525,0.012,0
urban_roadside,18.337,66.686,671,17540,22.752,0.706,0.447,1
frozen_wasteland,-31.563,21.392,435,2546.6,0.203,0.021,0.005,0
english_garden,15.317,51.891,406,39812,0.941,0.035,0.009,2
volcanic_vent,70.621,51.327,8034,29179.6,51.604,4.149,4.206,0
dry_scrubland,31.379,24.562,438,84602.5,0.597,0.103,0.005,1
unventilated_room,25.025,51.444,4580,431.3,1.85,0.199,0.025,0
unventilated_room,21.648,49.371,4543,416.1,1.937,0.318,0.026,0
tropical_rainforest,25.268,75.974,425,5524.4,0.075,0.164,0.005,2
urban_roadside,13.805,54.053,467,22306.5,18.077,0.485,0.255,1
frozen_wasteland,-25.595,21.336,406,1221.3,0.264,0.036,0.002,0
industrial_exhaust,17.285,21.324,4332,24202.4,103.181,77.496,9.218,0
ammonia_leak,23.708,77.799,612,427.7,1.93,116.576,0.024,0
english_garden,15.609,53.438,403,14996.4,0.555,0.013,0.003,2
greenhouse,27.78,62.965,667,30448.2,0.555,1.155,0.024,2
volcanic_vent,59.552,58.93,7162,19337.9,47.28,3.187,3.481,0
tropical_rainforest,29.612,91.776,414,8116.7,0.465,0.259,0.003,2
unventilated_room,25.328,56.856,3747,268.8,1.35,0.314,0.025,0
indoor_kitchen_cooking,22.541,58.978,1326,422.8,4.425,0.563,0.062,1
unventilated_room,20.796,52.301,4119,421,1.578,0.48,0.025,0
tropical_rainforest,27.206,75.117,388,3404.3,0.265,0.723,0.004,2
frozen_wasteland,-17.8,18.056,427,226.7,0.089,0.067,0.005,0
greenhouse,21.511,63.459,932,23850.5,0.372,1.458,0.021,2
industrial_exhaust,28.877,48.836,4987,38699.9,66.579,23.458,2.023,0
dry_scrubland,34.142,22.934,478,93251.6,0.798,0.096,0.008,1
ammonia_leak,23.271,53.856,410,703.1,0.714,362.171,0.032,0
diesel_exhaust_zone,16.474,54.69,571,20042.3,2.68,0.771,4.655,0
ammonia_leak,21.143,65.698,522,419.3,1.384,255.611,0.027,0
industrial_exhaust,28.953,45.326,4583,4921.7,127.923,48.412,6.904,0
dry_scrubland,30.017,24.391,412,50189,0.683,0.394,0.02,1
unventilated_room,20.294,49.06,3790,333.2,1.195,0.458,0.019,0
dry_scrubland,37.774,13.903,444,64675.3,0.398,0.082,0.016,1
unventilated_room,21.959,48.799,4702,223.6,1.634,0.168,0.025,0
classroom,20.574,37.99,897,695.5,1.103,0.288,0.01,2
greenhouse,20.67,72.912,837,27945.6,0.684,0.693,0.016,2
urban_roadside,13.833,57.108,699,9137.7,22.357,0.795,0.216,1
ammonia_leak,17.401,52.417,694,862.8,0.721,108.858,0.029,0
ammonia_leak,23.776,69.952,710,859.8,0.522,238.001,0.02,0
english_garden,18.209,58.283,436,10026.6,0.581,0.109,0.005,2
unventilated_room,22.681,52.896,4087,475.8,0.892,0.261,0.024,0
diesel_exhaust_zone,23.482,54.79,594,7668.5,3.84,0.869,1.866,0
indoor_kitchen_cooking,23.069,52.843,1590,439.5,4.568,0.528,0.125,1
volcanic_vent,66.869,76.374,8007,20671.8,137.298,2.2,4.71,0
industrial_exhaust,18.221,30.248,2266,34911.2,172.692,57.174,8.567,0
classroom,22.161,44.84,730,617.2,1.181,0.17,0.02,2
frozen_wasteland,-39.092,32.29,418,3480.5,0.171,0.055,0.005,0
tundra_edge,0.049,61.402,430,2301.9,0.308,0.138,0.004,1
underground_cave,13.733,80.233,1641,41.3,1.026,1.838,0.021,1
classroom,21.171,38.575,643,308.8,0.69,0.191,0.014,2
urban_roadside,12.448,52.803,452,18435.1,11.283,0.772,0.292,1
classroom,22.748,41.403,643,779,0.461,0.258,0.02,2
classroom,21.002,41.459,802,635.1,0.323,0.23,0.012,2
industrial_exhaust,17.121,63.837,2413,8541.8,83.823,88.284,8.725,0
tundra_edge,0.523,52.496,458,2804.7,0.233,0.029,0.01,1
urban_roadside,23.1,69.08,497,8192.9,6.798,0.338,0.125,1
diesel_exhaust_zone,28.96,55.472,668,8873.6,7.696,0.134,3.723,0
indoor_kitchen_cooking,28.068,56.608,1569,416.1,7.66,2.42,0.127,1
greenhouse,23.731,58.005,987,36832.8,0.698,0.595,0.012,2
urban_roadside,23.744,47.768,671,16564.2,20.3,0.191,0.463,1
urban_roadside,11.657,68.652,584,28054.7,5.909,0.825,0.293,1
english_garden,19.217,63.421,497,15068.6,0.609,0.468,0.002,2
tropical_rainforest,25.324,84.42,414,13466.8,0.115,0.935,0.003,2
ammonia_leak,17.943,41.645,760,821.5,0.433,187.977,0.02,0
english_garden,19.39,50.793,496,23454.2,0.824,0.342,0.004,2
english_garden,21.816,54.924,450,37577.9,0.567,0.401,0.008,2
ammonia_leak,28.13,41.714,678,270.2,0.521,315.462,0.003,0
volcanic_vent,52.828,78.735,3925,11744.3,98.19,2.708,4.774,0
underground_cave,8.777,78.379,1202,44.1,0.794,1.239,0.012,1
industrial_exhaust,17.523,54.464,4835,13870.9,109.519,18.833,6.682,0
volcanic_vent,48.016,45.372,5761,20420.1,80.577,1.747,4.766,0
industrial_exhaust,26.501,24.848,2673,12570.4,171.759,49.396,9.111,0
tropical_rainforest,29.132,85.87,380,13357.8,0.157,0.63,0.003,2
diesel_exhaust_zone,17.072,52.647,526,10963.3,6.584,0.758,1.52,0
indoor_kitchen_cooking,26.379,72.658,1069,287.6,3.313,1.809,0.228,1
frozen_wasteland,-19.215,28.2,430,4598.5,0.143,0.034,0.004,0
volcanic_vent,63.868,82.455,4726,12983.5,14.899,3.417,2.006,0
diesel_exhaust_zone,21.988,40.067,659,16070.3,6.488,0.996,5.773,0
greenhouse,20.921,56.213,786,29247.7,0.536,0.73,0.011,2
volcanic_vent,41.583,30.436,4241,19594,49.836,1.784,4.214,0
volcanic_vent,77.062,68.151,9329,29215,138.97,4.655,3.497,0
unventilated_room,20.108,41.243,4503,450.6,0.635,0.196,0.026,0
tundra_edge,-3.935,74.706,474,9663.9,0.261,0.151,0.005,1
industrial_exhaust,20.794,24.582,3067,10209.9,130.546,58.418,9.035,0
unventilated_room,20.834,42.925,3232,410.6,1.123,0.183,0.028,0
urban_roadside,17.736,62.018,517,21320.9,24.564,0.103,0.203,1
classroom,22.426,37.137,597,462.7,0.876,0.216,0.012,2
underground_cave,12.212,80.661,1915,19.2,1.122,1.162,0.033,1
frozen_wasteland,-20.88,30.497,449,4619.6,0.08,0.069,0.004,0
dry_scrubland,32.971,11.408,442,67343.1,0.408,0.031,0.003,1
tundra_edge,4.568,56.047,431,8250.5,0.312,0.187,0.005,1
volcanic_vent,78.927,63.669,6541,8523.3,16.618,4.607,4.77,0
tropical_rainforest,24.787,80.868,430,14437.2,0.425,0.706,0.004,2
industrial_exhaust,17.511,35.063,2556,13451.3,92.707,55.261,7.261,0
volcanic_vent,50.552,73.413,7670,23393.7,13.841,2.999,1.306,0
volcanic_vent,75.005,42.808,4465,11959.1,44.172,4.334,1.821,0
dry_scrubland,37.154,19.629,477,92478.7,0.105,0.124,0.019,1
tundra_edge,-0.939,67.775,425,17992.2,0.44,0.13,0.009,1
underground_cave,9.764,75.86,2226,21.6,1.212,0.632,0.025,1
english_garden,16.856,60.681,446,21536.2,0.962,0.498,0.006,2
tropical_rainforest,25.9,86.406,444,5263.7,0.474,0.491,0.005,2
underground_cave,12.352,76.414,1387,2.3,1.379,1.904,0.032,1
underground_cave,8.75,85.051,1861,39.5,1.055,1.837,0.029,1
english_garden,17.538,48.605,421,38325.4,0.538,0.113,0.002,2
tropical_rainforest,26.132,78.716,422,9091.1,0.431,0.313,0.003,2
volcanic_vent,54.967,88.837,4501,16615.1,116.792,3.007,4.143,0
ammonia_leak,16.383,44.706,652,198.6,1.797,189.723,0.044,0
tundra_edge,-4.865,73.949,421,1549.2,0.5,0.147,0.002,1
greenhouse,20.779,60.812,793,26595.8,0.155,1.163,0.022,2
diesel_exhaust_zone,28.796,60.692,505,17259.7,2.865,0.531,4.698,0
indoor_kitchen_cooking,26.514,56.236,1137,209.3,3.354,2.433,0.059,1
diesel_exhaust_zone,19.958,49.435,549,15993.5,1.957,0.724,4.357,0
volcanic_vent,48.768,73.818,6240,1431.6,93.291,2.683,2.429,0
ammonia_leak,20.051,67.577,753,595.5,0.387,447.611,0.011,0
ammonia_leak,15.099,55.797,564,680.3,0.548,496.444,0.042,0
indoor_kitchen_cooking,29.896,58.241,1273,351.9,6.925,0.611,0.082,1
greenhouse,24.73,67.69,692,19630.4,0.135,1.488,0.028,2
ammonia_leak,29.724,43.891,562,759,0.326,177.267,0.042,0
urban_roadside,22.354,49.486,681,24336.8,19.613,0.813,0.499,1
indoor_kitchen_cooking,22.733,60.082,1559,220.3,4.612,1.684,0.143,1
greenhouse,21.244,65,907,23277.7,0.71,0.645,0.029,2
volcanic_vent,70.016,51.922,8193,5134.8,45.084,2.288,1.184,0
english_garden,16.749,54.241,480,12473.4,0.111,0.415,0.01,2
underground_cave,8.602,81.065,2277,26.2,1.458,1.966,0.05,1
dry_scrubland,30.909,21.598,411,97361.2,0.371,0.241,0.012,1
tropical_rainforest,27.961,87.829,443,1809.3,0.334,0.742,0.004,2
